dep_iata,airport_name,arr_iata
BCA,Gustavo Rizo Airport,BCA
BCB,Virginia Tech Montgomery Executive Airport,BCB
BCC,Bear Creek 3 Airport,BCC
BCD,Bacolod-Silay Airport,BCD
BCE,Bryce Canyon Airport,BCE
BCF,Bouca Airport,BCF
BCG,Bemichi Airport,BCG
BCH,Cakung Airport,BCH
BCI,Barcaldine Airport,BCI
BCJ,Baca Grande Airfield,BCJ
BCK,Bolwarra Airport,BCK
BCL,Barra del Colorado Airport,BCL
BCM,BacÄu Airport,BCM
BCN,Barcelona International Airport,BCN
BCO,Baco Airport,BCO
BCP,Bambu Airport,BCP
BCQ,Brak Airport,BCQ
BCR,Novo Campo Airport,BCR
BCS,Southern Seaplane Airport,BCS
BCT,Boca Raton Airport,BCT
BCU,Sir Abubakar Tafawa Balewa International Airport,BCU
BCV,Hector Silva Airstrip,BCV
BCW,Benguera Island Airport,BCW
BCX,Beloretsk Airport,BCX
BCZ,Milyakburra Airport,BCZ
BDA,L.F. Wade International International Airport,BDA
BDB,Bundaberg Airport,BDB
BDC,Barra do Corda Airport,BDC
BDD,Badu Island Airport,BDD
BDE,Baudette International Airport,BDE
BDF,Rinkenberger Restricted Landing Area,BDF
BDG,Blanding Municipal Airport,BDG
BDH,Bandar Lengeh Airport,BDH
BDI,Bird Island Airport,BDI
BDJ,Syamsudin Noor Airport,BDJ
BDK,Soko Airport,BDK
BDL,Bradley International Airport,BDL
BDM,BandÄ±rma Airport,BDM
BDN,Talhar Airport,BDN
BDO,Husein Sastranegara International Airport,BDO
BDP,Bhadrapur Airport,BDP
BDQ,Vadodara Airport,BDQ
BDR,Igor I Sikorsky Memorial Airport,BDR
BDS,Brindisi â Salento Airport,BDS
BDT,Gbadolite Airport,BDT
BDU,Bardufoss Airport,BDU
BDV,Moba Airport,BDV
BDW,Bedford Downs Airport,BDW
BDX,Broadus Airport,BDX
BDY,Bandon State Airport,BDY
BDZ,Baindoung Airport,BDZ
BEA,Bereina Airport,BEA
BEB,Benbecula Airport,BEB
BEC,Beech Factory Airport,BEC
BED,Laurence G Hanscom Field,BED
BEE,Beagle Bay Airport,BEE
BEF,Bluefields Airport,BEF
BEG,Belgrade Nikola Tesla Airport,BEG
BEH,Southwest Michigan Regional Airport,BEH
BEI,Beica Airport,BEI
BEJ,Kalimarau Airport,BEJ
BEK,Bareilly Air Force Station,BEK
BEL,Val de Cans/JÃºlio Cezar Ribeiro International Airport,BEL
BEM,Beni Mellal Airport,BEM
BEN,Benina International Airport,BEN
BEO,Lake Macquarie Airport,BEO
